"DF_Classification"	"DF_pANN"
"Singlet"	0.317073170731707
"Singlet"	0.262872628726287
"Singlet"	0.292682926829268
"Singlet"	0.205962059620596
"Singlet"	0.360433604336043
"Singlet"	0.178861788617886
"Singlet"	0.214092140921409
"Singlet"	0.203252032520325
"Singlet"	0.219512195121951
"Singlet"	0.18970189701897
"Doublet"	0.37940379403794
"Singlet"	0.230352303523035
"Singlet"	0.165311653116531
"Singlet"	0.230352303523035
"Singlet"	0.254742547425474
"Singlet"	0.151761517615176
"Singlet"	0.317073170731707
"Doublet"	0.395663956639566
"Singlet"	0.235772357723577
"Doublet"	0.373983739837398
"Singlet"	0.279132791327913
"Singlet"	0.230352303523035
"Singlet"	0.281842818428184
"Singlet"	0.214092140921409
"Singlet"	0.289972899728997
"Doublet"	0.368563685636856
"Singlet"	0.159891598915989
"Singlet"	0.268292682926829
"Singlet"	0.317073170731707
"Singlet"	0.208672086720867
"Singlet"	0.260162601626016
"Singlet"	0.279132791327913
"Singlet"	0.257452574525745
"Singlet"	0.32520325203252
"Singlet"	0.311653116531165
"Doublet"	0.376693766937669
"Singlet"	0.357723577235772
"Singlet"	0.349593495934959
"Singlet"	0.311653116531165
"Singlet"	0.355013550135501
"Singlet"	0.314363143631436
"Singlet"	0.333333333333333
"Singlet"	0.246612466124661
"Singlet"	0.211382113821138
"Singlet"	0.311653116531165
"Singlet"	0.224932249322493
"Singlet"	0.257452574525745
"Doublet"	0.504065040650406
"Singlet"	0.260162601626016
"Singlet"	0.284552845528455
"Singlet"	0.170731707317073
"Singlet"	0.260162601626016
"Singlet"	0.219512195121951
"Singlet"	0.360433604336043
"Singlet"	0.16260162601626
"Singlet"	0.268292682926829
"Singlet"	0.338753387533875
"Singlet"	0.173441734417344
"Singlet"	0.284552845528455
"Singlet"	0.254742547425474
"Singlet"	0.241192411924119
"Singlet"	0.254742547425474
"Singlet"	0.311653116531165
"Singlet"	0.284552845528455
"Singlet"	0.252032520325203
"Singlet"	0.357723577235772
"Singlet"	0.276422764227642
"Singlet"	0.338753387533875
"Singlet"	0.181571815718157
"Singlet"	0.254742547425474
"Singlet"	0.268292682926829
"Singlet"	0.357723577235772
"Singlet"	0.360433604336043
"Singlet"	0.222222222222222
"Singlet"	0.219512195121951
"Singlet"	0.322493224932249
"Singlet"	0.311653116531165
"Singlet"	0.192411924119241
"Singlet"	0.363143631436314
"Singlet"	0.235772357723577
"Singlet"	0.200542005420054
"Singlet"	0.357723577235772
"Singlet"	0.257452574525745
"Doublet"	0.382113821138211
"Singlet"	0.257452574525745
"Singlet"	0.314363143631436
"Singlet"	0.303523035230352
"Singlet"	0.18970189701897
"Doublet"	0.373983739837398
"Singlet"	0.246612466124661
"Singlet"	0.195121951219512
"Singlet"	0.268292682926829
"Singlet"	0.363143631436314
"Singlet"	0.246612466124661
"Singlet"	0.35230352303523
"Singlet"	0.287262872628726
"Singlet"	0.357723577235772
"Doublet"	0.401084010840108
"Singlet"	0.338753387533875
"Doublet"	0.384823848238482
"Singlet"	0.268292682926829
"Doublet"	0.365853658536585
"Singlet"	0.203252032520325
"Singlet"	0.276422764227642
"Singlet"	0.295392953929539
"Doublet"	0.371273712737127
"Doublet"	0.390243902439024
"Singlet"	0.186991869918699
"Singlet"	0.276422764227642
